Year,region,Mean
1966,Bogra,0.03553686195701342
1966,Dinajpur,0.04567474249422385
1966,Ishwardi,0.034344351196215726
1966,Rajshahi,0.052856159395399276
1966,Rangpur,0.039483911114729986
1967,Bogra,0.04281617365905812
1967,Dinajpur,0.05049018193865355
1967,Ishwardi,0.034240983539215085
1967,Rajshahi,0.034286003584616524
1967,Rangpur,0.056056005106149324
1968,Bogra,0.051344119595767
1968,Dinajpur,0.06158228608118568
1968,Ishwardi,8.05893073143794e-4
1968,Rajshahi,0.04663412766555246
1968,Rangpur,0.0592180910417531
1969,Bogra,0.046855093524754685
1969,Dinajpur,0.06550026801585186
1969,Ishwardi,9.3533316728347e-4
1969,Rajshahi,8.420370031755831e-4
1969,Rangpur,0.08043798894877549
1970,Bogra,0.056820304673600344
1970,Dinajpur,0.04711889746301197
1970,Ishwardi,0.059280899562342865
1970,Rajshahi,0.055296065019328065
1970,Rangpur,0.06826563207378722
1971,Bogra,0.05854385807214604
1971,Dinajpur,0.05751351180833246
1971,Ishwardi,0.054380193549161925
1971,Rajshahi,0.05392937398726476
1971,Rangpur,0.0595424887288449
1972,Bogra,0.03921183782806448
1972,Dinajpur,0.03832354144538291
1972,Ishwardi,0.03183800030461825
1972,Rajshahi,0.028932169774227023
1972,Rangpur,0.050179537327376685
1973,Bogra,0.07400193855504997
1973,Dinajpur,0.07277152533385342
1973,Ishwardi,0.0779110409817032
1973,Rajshahi,0.05649188846628606
1973,Rangpur,0.07374506194329046
1974,Bogra,0.059307696783555436
1974,Dinajpur,0.052716771062911075
1974,Ishwardi,0.056639023014289615
1974,Rajshahi,0.05363355614951692
1974,Rangpur,0.053451160954456366
1975,Bogra,0.044808358029555136
1975,Dinajpur,0.057738455944151744
1975,Ishwardi,0.06125900795930737
1975,Rajshahi,0.03522402088390802
1975,Rangpur,0.06086312798227611
1976,Bogra,0.054635606220839274
1976,Dinajpur,0.06121492449144123
1976,Ishwardi,0.08154266562204163
1976,Rajshahi,0.04057178509430841
1976,Rangpur,0.062147595025732444
1977,Bogra,0.04650540882275778
1977,Dinajpur,0.06495269075296596
1977,Ishwardi,0.08855077223418423
1977,Rajshahi,0.05591877674277438
1977,Rangpur,0.06581788179274559
1978,Bogra,0.06075296978131841
1978,Dinajpur,0.06982888196395437
1978,Ishwardi,0.04703537227845842
1978,Rajshahi,0.05411610005855692
1978,Rangpur,0.0663714236912685
1979,Bogra,0.06282583924767207
1979,Dinajpur,0.06672631232395211
1979,Ishwardi,0.04929364569337426
1979,Rajshahi,0.04640543071026224
1979,Rangpur,0.08757467080355681
1980,Bogra,0.04666535563355355
1980,Dinajpur,0.06890206023271887
1980,Ishwardi,0.045455160890461685
1980,Rajshahi,0.04686751187045417
1980,Rangpur,0.06860994718214782
1981,Bogra,0.05247928429792954
1981,Dinajpur,0.06338292322506932
1981,Ishwardi,0.07262592501116541
1981,Rajshahi,0.07744643274320849
